unit,district,department,year,n_young,n_candidates,young_18to29_participation,young_18to29_register,total_electors,n_young_mayor,n_candidates_mayor,n_le29,n_le30,n_le31,n_le32,n_le33,n_le34,n_le35,youth_cand_share,youth_turnout_18to29,youth_share,log_total_electors,post,youth_cand_share_mayor,youth_cand_share_le29,youth_cand_share_le30,youth_cand_share_le31,youth_cand_share_le32,youth_cand_share_le33,youth_cand_share_le34,youth_cand_share_le35
7_43,PIRAPO,ITAPUA,2015,13,48,647,1266,4236,0,3,3,5,5,5,7,11,13,0.2708333333333333,0.5110584518167457,0.2988668555240793,8.351374706721296,0,0,0.0625,0.10416666666666667,0.10416666666666667,0.10416666666666667,0.14583333333333334,0.22916666666666666,0.2708333333333333
7_43,PIRAPO,ITAPUA,2021,9,36,733,1510,4867,0,2,3,4,4,4,6,7,9,0.25,0.48543046357615893,0.31025272241627283,8.490233009833455,1,0,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.19444444444444445,0.25
7_45,SAN COSME Y DAMIAN,ITAPUA,2015,13,36,869,1437,4908,1,3,9,10,10,10,12,13,13,0.3611111111111111,0.60473208072373,0.2927872860635697,8.498621805830801,0,0.3333333333333333,0.25,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3333333333333333,0.3611111111111111,0.3611111111111111
7_45,SAN COSME Y DAMIAN,ITAPUA,2021,21,48,1145,1846,6117,0,4,8,10,14,16,18,18,21,0.4375,0.6202600216684724,0.30178191924145825,8.718827059242566,1,0,0.16666666666666666,0.20833333333333334,0.2916666666666667,0.3333333333333333,0.375,0.375,0.4375
7_47,SAN JUAN DEL PARANA,ITAPUA,2015,22,60,1440,2112,6498,3,3,11,12,13,15,18,19,22,0.36666666666666664,0.6818181818181818,0.3250230840258541,8.779249716229046,0,1,0.18333333333333332,0.2,0.21666666666666667,0.25,0.3,0.31666666666666665,0.36666666666666664
7_47,SAN JUAN DEL PARANA,ITAPUA,2021,11,36,1813,2620,8385,0,2,5,7,9,10,10,10,11,0.3055555555555556,0.6919847328244275,0.3124627310673822,9.034199674257309,1,0,0.1388888888888889,0.19444444444444445,0.25,0.2777777777777778,0.2777777777777778,0.2777777777777778,0.3055555555555556
7_49,SAN PEDRO DEL PARANA,ITAPUA,2015,7,36,2597,6479,21421,0,4,2,3,4,4,6,6,7,0.19444444444444445,0.40083346195400527,0.3024602026049204,9.972127028252816,0,0,0.05555555555555555,0.08333333333333333,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.19444444444444445
7_49,SAN PEDRO DEL PARANA,ITAPUA,2021,17,60,3139,8336,25661,1,5,7,9,11,12,12,14,17,0.2833333333333333,0.37655950095969287,0.32485094111686996,10.152727608571611,1,0.2,0.11666666666666667,0.15,0.18333333333333332,0.2,0.2,0.23333333333333334,0.2833333333333333
7_5,CAMBYRETA,ITAPUA,2015,24,72,3811,6677,20563,0,3,8,8,11,14,17,20,24,0.3333333333333333,0.5707653137636663,0.3247094295579439,9.931248623321519,0,0,0.1111111111111111,0.1111111111111111,0.1527777777777778,0.19444444444444445,0.2361111111111111,0.2777777777777778,0.3333333333333333
7_5,CAMBYRETA,ITAPUA,2021,16,60,5680,9522,28501,0,3,8,8,8,10,13,15,16,0.26666666666666666,0.5965133375341315,0.3340935405775236,10.25769445336048,1,0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.21666666666666667,0.25,0.26666666666666666
7_51,SAN RAFAEL DEL PARANA,ITAPUA,2015,11,48,2164,4136,12406,1,3,5,6,8,9,10,11,11,0.22916666666666666,0.52321083172147,0.333387070772207,9.425935505533063,0,0.3333333333333333,0.10416666666666667,0.125,0.16666666666666666,0.1875,0.20833333333333334,0.22916666666666666,0.22916666666666666
7_51,SAN RAFAEL DEL PARANA,ITAPUA,2021,16,60,2341,4653,14528,1,4,4,6,8,9,13,14,16,0.26666666666666666,0.5031162690737159,0.32027808370044053,9.583833100841074,1,0.25,0.06666666666666667,0.1,0.13333333333333333,0.15,0.21666666666666667,0.23333333333333334,0.26666666666666666
7_53,TOMAS ROMERO PEREIRA,ITAPUA,2015,24,84,2966,5657,18497,1,4,15,18,19,20,20,23,24,0.2857142857142857,0.5243061693477108,0.30583337838568414,9.82536383575455,0,0.25,0.17857142857142858,0.21428571428571427,0.2261904761904762,0.23809523809523808,0.23809523809523808,0.27380952380952384,0.2857142857142857
7_53,TOMAS ROMERO PEREIRA,ITAPUA,2021,34,96,2924,6652,21779,0,4,13,15,21,26,27,31,34,0.3541666666666667,0.4395670475045099,0.30543183800909135,9.988701481750608,1,0,0.13541666666666666,0.15625,0.21875,0.2708333333333333,0.28125,0.3229166666666667,0.3541666666666667
7_55,TRINIDAD,ITAPUA,2015,16,48,728,1659,5176,0,2,10,11,13,13,14,14,16,0.3333333333333333,0.4388185654008439,0.3205177743431221,8.551787836180736,0,0,0.20833333333333334,0.22916666666666666,0.2708333333333333,0.2708333333333333,0.2916666666666667,0.2916666666666667,0.3333333333333333
7_55,TRINIDAD,ITAPUA,2021,16,48,1103,1979,6475,1,4,8,9,11,13,14,16,16,0.3333333333333333,0.5573521980798383,0.30563706563706566,8.775703886567738,1,0.25,0.16666666666666666,0.1875,0.22916666666666666,0.2708333333333333,0.2916666666666667,0.3333333333333333,0.3333333333333333
7_57,YATYTAY,ITAPUA,2015,18,54,1230,2517,8073,0,2,9,10,11,13,15,17,18,0.3333333333333333,0.48867699642431467,0.31178000743218137,8.996280439395015,0,0,0.16666666666666666,0.18518518518518517,0.2037037037037037,0.24074074074074073,0.2777777777777778,0.3148148148148148,0.3333333333333333
7_57,YATYTAY,ITAPUA,2021,11,48,1358,2836,9430,0,4,7,8,8,9,11,11,11,0.22916666666666666,0.4788434414668547,0.3007423117709438,9.151651375627504,1,0,0.14583333333333334,0.16666666666666666,0.16666666666666666,0.1875,0.22916666666666666,0.22916666666666666,0.22916666666666666
7_7,CAPITAN MEZA,ITAPUA,2015,6,36,916,1839,6502,0,2,4,4,4,4,4,6,6,0.16666666666666666,0.4980967917346384,0.2828360504460166,8.779865100863852,0,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.16666666666666666
7_7,CAPITAN MEZA,ITAPUA,2021,12,36,1155,2022,7458,0,3,4,4,5,6,7,8,12,0.3333333333333333,0.5712166172106825,0.2711182622687047,8.917042560738766,1,0,0.1111111111111111,0.1111111111111111,0.1388888888888889,0.16666666666666666,0.19444444444444445,0.2222222222222222,0.3333333333333333
7_9,CAPITAN MIRANDA,ITAPUA,2015,15,48,1048,2000,6739,1,3,9,9,11,11,12,13,15,0.3125,0.524,0.2967799376762131,8.815666824946216,0,0.3333333333333333,0.1875,0.1875,0.22916666666666666,0.22916666666666666,0.25,0.2708333333333333,0.3125
7_9,CAPITAN MIRANDA,ITAPUA,2021,12,48,1468,2622,8418,0,4,5,5,6,10,10,11,12,0.25,0.5598779557589626,0.3114754098360656,9.038127549330516,1,0,0.10416666666666667,0.10416666666666667,0.125,0.20833333333333334,0.20833333333333334,0.22916666666666666,0.25
8_0,SAN JUAN BAUTISTA,MISIONES,2015,18,48,3108,4783,14772,1,3,8,8,11,13,13,17,18,0.375,0.6498013798871002,0.32378824803682643,9.600488775972455,0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.22916666666666666,0.2708333333333333,0.2708333333333333,0.3541666666666667,0.375
8_0,SAN JUAN BAUTISTA,MISIONES,2021,21,49,3360,4702,16389,2,3,7,10,12,14,14,18,21,0.42857142857142855,0.7145895363675032,0.2868997498322045,9.704365657063827,1,0.6666666666666666,0.14285714285714285,0.20408163265306123,0.24489795918367346,0.2857142857142857,0.2857142857142857,0.3673469387755102,0.42857142857142855
8_1,AYOLAS,MISIONES,2015,21,71,2187,3594,11521,1,3,14,14,15,17,19,21,21,0.29577464788732394,0.6085141903171953,0.31195208749240516,9.351926736038054,0,0.3333333333333333,0.19718309859154928,0.19718309859154928,0.2112676056338028,0.23943661971830985,0.2676056338028169,0.29577464788732394,0.29577464788732394
8_1,AYOLAS,MISIONES,2021,6,36,2682,4030,13295,0,2,4,4,4,5,6,6,6,0.16666666666666666,0.6655086848635235,0.3031214742384355,9.49514330367712,1,0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1388888888888889,0.16666666666666666,0.16666666666666666,0.16666666666666666
8_11,SANTA ROSA,MISIONES,2015,22,72,2641,4676,15260,2,4,5,6,12,16,18,18,22,0.3055555555555556,0.5647989734816082,0.30642201834862387,9.632990304838447,0,0.5,0.06944444444444445,0.08333333333333333,0.16666666666666666,0.2222222222222222,0.25,0.25,0.3055555555555556
8_11,SANTA ROSA,MISIONES,2021,19,48,2720,4535,16611,1,3,7,8,10,11,14,17,19,0.3958333333333333,0.5997794928335171,0.2730118596111011,9.717820405491077,1,0.3333333333333333,0.14583333333333334,0.16666666666666666,0.20833333333333334,0.22916666666666666,0.2916666666666667,0.3541666666666667,0.3958333333333333
8_13,SANTIAGO,MISIONES,2015,12,36,995,1493,5606,0,2,7,8,8,10,12,12,12,0.3333333333333333,0.666443402545211,0.2663217980734927,8.631592731724734,0,0,0.19444444444444445,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.3333333333333333
